donation_id,donor_id,campaign_id,amount,donation_date,payment_method,is_recurring,notes
DN0055,D0229,C001,2293.10,2023-10-13,Credit Card,False,Conservation project funding
DN0056,D0360,C011,347.77,2024-07-03,Check,False,Monthly donation
DN0057,D0899,C005,482.20,2023-09-29,Credit Card,True,Elk research funding
DN0058,D0354,C012,2463.77,2024-06-07,Credit Card,False,
DN0059,D0195,C005,232.13,2024-06-16,ACH Transfer,False,Habitat restoration support
DN0060,D0373,C007,340.51,2023-12-05,ACH Transfer,False,Monthly donation
DN0061,D0738,C015,171.91,2024-02-23,Check,False,Conservation project funding
DN0062,D0568,C003,340.84,2024-01-24,Wire Transfer,False,Conservation project funding
DN0063,D0416,C009,1867.44,2023-08-04,PayPal,False,
DN0064,D0671,C006,235.03,2023-08-07,ACH Transfer,False,One-time contribution
DN0065,D0675,C002,340.33,2024-09-26,Check,True,Habitat restoration support
DN0066,D0689,C005,119.59,2023-01-26,Credit Card,False,Land acquisition support
DN0067,D0626,C014,2549.37,2024-10-06,ACH Transfer,True,Elk research funding
DN0068,D0507,C007,336.63,2023-01-06,Credit Card,False,Habitat restoration support
DN0069,D0181,C013,54205.99,2023-02-21,ACH Transfer,False,Monthly donation
DN0070,D0468,C003,3504.10,2024-07-26,ACH Transfer,False,Land acquisition support
DN0071,D0628,C014,2771.50,2024-07-15,PayPal,False,Land acquisition support
DN0072,D0461,C005,4279.38,2023-10-11,ACH Transfer,False,Habitat restoration support
DN0073,D0282,C008,160.72,2023-10-06,Check,False,Emergency wildlife support
DN0074,D0083,C003,206.94,2023-06-06,Wire Transfer,True,Elk research funding
DN0075,D0339,C009,54.58,2024-03-06,PayPal,False,
DN0076,D0969,C012,443.31,2024-08-12,PayPal,False,Youth education program
DN0077,D0306,C013,448.53,2024-03-05,ACH Transfer,False,Emergency wildlife support
DN0078,D0820,C010,2697.03,2023-10-07,PayPal,False,Elk research funding
DN0079,D0345,C011,2319.43,2023-06-19,PayPal,False,
DN0080,D0547,C001,61229.81,2024-11-09,Credit Card,True,Elk research funding
DN0081,D0139,C014,48.89,2024-01-24,Check,False,Youth education program
DN0082,D0346,C013,1752.15,2024-03-07,Check,False,Land acquisition support
DN0083,D0020,C012,499.96,2023-12-25,Wire Transfer,False,Annual membership renewal
DN0084,D0773,C001,23939.26,2023-01-21,ACH Transfer,True,One-time contribution
DN0085,D0485,C011,475.18,2024-04-21,Check,False,One-time contribution
DN0086,D0621,C010,73243.94,2023-06-17,Check,True,Annual membership renewal
DN0087,D0952,C005,456.31,2024-01-20,PayPal,False,Habitat restoration support
DN0088,D0078,C010,3322.59,2023-04-15,Check,False,
DN0089,D0825,C002,3046.70,2023-02-12,Check,False,Youth education program
DN0090,D0071,C009,556.93,2024-03-06,PayPal,True,Youth education program
DN0091,D0651,C015,3682.89,2024-03-21,Wire Transfer,False,Conservation project funding
DN0092,D0631,C013,78590.94,2024-04-21,PayPal,False,
DN0093,D0275,C006,4238.29,2023-03-30,Check,False,Habitat restoration support
DN0094,D0769,C008,342.39,2023-12-11,Credit Card,False,Youth education program
DN0095,D0187,C008,403.97,2023-12-15,Check,False,Conservation project funding
DN0096,D0570,C001,115.75,2023-09-05,PayPal,False,Habitat restoration support
DN0097,D0708,C008,2708.70,2023-01-18,Credit Card,False,Elk research funding
DN0098,D0709,C004,301.24,2024-04-29,ACH Transfer,False,Elk research funding
DN0099,D0764,C009,358.86,2023-10-05,Check,False,Monthly donation
DN0100,D0739,C004,377.87,2024-12-07,Wire Transfer,True,Land acquisition support
DN0101,D0284,C012,386.10,2024-09-03,Check,False,Habitat restoration support
DN0102,D0304,C004,168.58,2024-12-26,ACH Transfer,True,Annual membership renewal
DN0103,D0998,C001,356.27,2023-05-10,PayPal,True,Annual membership renewal
DN0104,D0588,C005,234.22,2023-07-08,Credit Card,False,Land acquisition support
DN0105,D0117,C014,258.58,2024-08-13,Credit Card,True,
DN0106,D0972,C005,142.89,2024-07-25,PayPal,False,
DN0107,D0232,C013,238.99,2024-03-29,Check,False,Elk research funding
DN0108,D0313,C010,3243.34,2023-04-12,Wire Transfer,False,Conservation project funding
DN0109,D0677,C002,107.56,2023-03-18,Wire Transfer,True,Land acquisition support
DN0110,D0706,C010,40.50,2023-10-23,Check,False,Land acquisition support
DN0111,D0073,C011,150.66,2024-10-02,ACH Transfer,False,Habitat restoration support
DN0112,D0436,C002,332.63,2023-09-30,Wire Transfer,True,One-time contribution
DN0113,D0812,C005,416.51,2023-10-23,PayPal,True,Conservation project funding
DN0114,D0717,C007,52544.86,2024-05-20,PayPal,True,Annual membership renewal
DN0115,D0911,C007,3216.71,2023-01-27,Credit Card,False,
DN0116,D0602,C001,68866.75,2023-10-03,ACH Transfer,True,One-time contribution
DN0117,D0482,C009,4622.33,2023-07-05,ACH Transfer,False,Land acquisition support
DN0118,D0993,C002,218.97,2023-11-25,Credit Card,False,Youth education program
DN0119,D0422,C012,339.73,2024-02-15,ACH Transfer,True,Monthly donation
DN0120,D0323,C005,485.84,2024-02-18,ACH Transfer,False,Annual membership renewal
DN0121,D0674,C014,221.29,2023-07-12,ACH Transfer,False,Land acquisition support
DN0122,D0641,C008,1416.01,2024-07-16,Wire Transfer,False,Land acquisition support
DN0123,D0902,C012,38.71,2024-10-07,ACH Transfer,False,One-time contribution
DN0124,D0319,C009,218.80,2023-08-19,Credit Card,False,Monthly donation
DN0125,D0664,C014,468.01,2023-10-26,ACH Transfer,False,Elk research funding
DN0126,D0855,C008,28154.44,2024-07-18,Wire Transfer,False,
DN0127,D0521,C012,4388.12,2023-10-10,PayPal,False,Emergency wildlife support
DN0128,D0274,C014,369.87,2024-08-24,ACH Transfer,False,Land acquisition support
DN0129,D0887,C003,255.06,2023-12-07,ACH Transfer,False,Elk research funding
DN0130,D0467,C015,114.61,2024-12-15,Wire Transfer,False,Habitat restoration support
DN0131,D0877,C013,176.13,2024-04-29,PayPal,False,One-time contribution
DN0132,D0508,C001,483.54,2023-12-06,Credit Card,False,Land acquisition support
DN0133,D0103,C009,6458.02,2023-05-28,PayPal,False,One-time contribution
DN0134,D0077,C008,1692.60,2024-09-30,PayPal,False,Youth education program
DN0135,D0873,C011,2210.04,2023-11-21,PayPal,False,Annual membership renewal
DN0136,D0633,C002,350.09,2023-10-22,Wire Transfer,False,Elk research funding
DN0137,D0101,C013,4426.61,2024-03-30,Wire Transfer,False,Annual membership renewal
DN0138,D0048,C006,1820.15,2024-01-19,PayPal,True,Emergency wildlife support
DN0139,D0422,C010,1310.26,2023-06-29,Credit Card,False,Elk research funding
DN0140,D0635,C011,458.59,2023-05-27,Wire Transfer,False,Conservation project funding
DN0141,D0471,C005,4545.09,2024-04-21,Check,False,One-time contribution
DN0142,D0076,C008,98826.91,2023-11-03,PayPal,False,Land acquisition support
DN0143,D0866,C005,207.73,2024-05-09,Credit Card,False,
DN0144,D0368,C010,357.16,2023-01-23,PayPal,False,
DN0145,D0886,C011,4881.21,2024-09-12,PayPal,False,Conservation project funding
DN0146,D0795,C013,405.92,2023-08-13,Wire Transfer,False,One-time contribution
DN0147,D0644,C002,66402.36,2023-11-13,PayPal,True,Youth education program
DN0148,D0750,C003,165.18,2024-03-01,Wire Transfer,False,Emergency wildlife support
DN0149,D0898,C006,458.91,2023-06-18,Check,False,Land acquisition support
DN0150,D0991,C013,438.44,2023-04-28,PayPal,False,One-time contribution
DN0151,D0773,C004,3758.98,2024-02-11,ACH Transfer,False,Elk research funding
DN0152,D0015,C005,241.02,2024-11-19,Check,False,Youth education program
DN0153,D0111,C011,36.89,2024-07-28,Check,False,Habitat restoration support
DN0154,D0664,C002,2589.20,2024-12-18,Check,False,Monthly donation
DN0155,D0144,C001,33914.64,2024-05-19,Credit Card,True,Emergency wildlife support
DN0156,D0139,C007,343.48,2024-12-14,ACH Transfer,False,One-time contribution
DN0157,D0907,C007,4251.62,2024-09-22,PayPal,False,Conservation project funding
DN0158,D0034,C012,235.61,2023-08-30,Check,True,Youth education program
DN0159,D0558,C015,39074.01,2024-02-12,Check,True,Monthly donation
DN0160,D0972,C014,912.53,2023-08-06,ACH Transfer,False,Annual membership renewal
DN0161,D0806,C006,84.81,2024-08-01,Wire Transfer,True,Emergency wildlife support
DN0162,D0213,C010,438.11,2023-12-03,Wire Transfer,False,
DN0163,D0003,C005,1151.10,2023-05-14,ACH Transfer,False,One-time contribution
DN0164,D0113,C011,1093.11,2024-01-02,Wire Transfer,False,Annual membership renewal
DN0165,D0179,C005,377.32,2024-06-22,Credit Card,False,Land acquisition support
DN0166,D0460,C013,306.99,2024-04-07,ACH Transfer,False,
DN0167,D0045,C012,4401.41,2024-06-17,Check,False,Annual membership renewal
DN0168,D0063,C008,2418.23,2023-04-21,PayPal,False,Land acquisition support
DN0169,D0076,C015,313.94,2023-03-09,Wire Transfer,False,
DN0170,D0562,C012,497.45,2024-06-27,Check,False,
DN0171,D0441,C002,1014.86,2024-11-01,ACH Transfer,False,Habitat restoration support
DN0172,D0441,C008,2362.16,2024-04-09,PayPal,False,Monthly donation
DN0173,D0321,C007,146.07,2023-06-06,PayPal,True,Monthly donation
DN0174,D0096,C007,375.93,2023-05-14,ACH Transfer,True,Emergency wildlife support
DN0175,D0576,C006,2348.64,2024-11-12,PayPal,False,Annual membership renewal
DN0176,D0992,C005,2082.41,2024-08-14,ACH Transfer,False,Land acquisition support
DN0177,D0230,C014,426.55,2024-01-12,Credit Card,False,
DN0178,D0232,C013,291.46,2024-09-28,ACH Transfer,False,Emergency wildlife support
DN0179,D0027,C010,83798.78,2023-10-01,Credit Card,True,Conservation project funding
DN0180,D0944,C006,111.17,2023-05-27,ACH Transfer,False,Monthly donation
DN0181,D0146,C012,637.96,2024-06-27,Wire Transfer,False,Land acquisition support
DN0182,D0350,C003,367.76,2024-08-04,ACH Transfer,True,Annual membership renewal
DN0183,D0160,C003,723.93,2023-03-25,Check,False,Elk research funding
DN0184,D0498,C010,154.75,2024-06-08,Credit Card,False,Monthly donation
DN0185,D0291,C011,2689.85,2024-11-14,Check,True,Elk research funding
DN0186,D0614,C001,168.17,2023-08-05,Wire Transfer,False,Conservation project funding
DN0187,D0336,C002,379.83,2023-06-29,Wire Transfer,False,Habitat restoration support
DN0188,D0513,C009,4127.90,2023-03-15,PayPal,False,Annual membership renewal
DN0189,D0447,C001,61.98,2023-11-17,ACH Transfer,False,Elk research funding
DN0190,D0727,C011,79.71,2023-01-22,Check,True,
DN0191,D0472,C014,2128.34,2024-03-23,Credit Card,False,
DN0192,D0411,C009,438.50,2023-12-14,Wire Transfer,False,One-time contribution
DN0193,D0079,C009,2887.72,2023-07-18,Check,False,One-time contribution
DN0194,D0242,C002,118.70,2024-09-08,Wire Transfer,False,Monthly donation
DN0195,D0182,C013,2587.79,2024-07-31,ACH Transfer,False,
DN0196,D0659,C011,35704.78,2024-10-04,Check,True,Monthly donation
DN0197,D0481,C008,4083.48,2024-08-28,Credit Card,False,Monthly donation
DN0198,D0318,C008,52.02,2023-10-21,Credit Card,False,Monthly donation
DN0199,D0630,C010,244.79,2024-07-21,Credit Card,False,
DN0200,D0668,C004,250.92,2023-06-04,Credit Card,False,Youth education program
DN0201,D0732,C002,106.97,2023-09-11,PayPal,False,Emergency wildlife support
DN0202,D0536,C010,202.10,2023-10-17,PayPal,False,Youth education program
DN0203,D0696,C010,324.67,2023-12-09,Credit Card,False,Emergency wildlife support
DN0204,D0695,C007,368.77,2024-11-03,ACH Transfer,False,Youth education program
DN0205,D0084,C010,4625.36,2023-11-14,PayPal,True,Monthly donation
DN0206,D0318,C009,401.04,2023-05-11,ACH Transfer,True,Elk research funding
DN0207,D0521,C006,171.71,2023-08-08,Check,False,Land acquisition support
DN0208,D0197,C004,19719.79,2023-10-30,Credit Card,False,Emergency wildlife support
DN0209,D0856,C012,669.86,2023-12-11,ACH Transfer,True,Elk research funding
DN0210,D0158,C003,354.10,2024-10-01,Wire Transfer,False,Annual membership renewal
DN0211,D0421,C006,1568.89,2024-03-30,ACH Transfer,False,Land acquisition support
DN0212,D0240,C009,483.66,2024-04-25,Wire Transfer,False,
DN0213,D0452,C008,4001.56,2024-05-29,ACH Transfer,False,One-time contribution
DN0214,D0837,C004,1122.79,2023-09-14,Credit Card,False,Youth education program
DN0215,D0568,C015,426.80,2023-05-08,Check,True,One-time contribution
DN0216,D0280,C008,18998.12,2024-03-23,Credit Card,False,Habitat restoration support
DN0217,D0837,C008,4687.12,2024-02-29,Credit Card,False,Youth education program
DN0218,D0242,C007,40616.70,2023-01-29,Check,False,Youth education program
DN0219,D0811,C003,161.27,2024-04-28,Wire Transfer,False,Land acquisition support
DN0220,D0460,C010,62.63,2023-09-20,Wire Transfer,False,Emergency wildlife support
DN0221,D0963,C012,2404.65,2023-10-23,Wire Transfer,False,Annual membership renewal
DN0222,D0245,C007,3302.65,2023-03-06,Credit Card,False,Land acquisition support
DN0223,D0612,C009,269.80,2023-09-05,Wire Transfer,False,Annual membership renewal
DN0224,D0630,C006,222.87,2024-11-11,Credit Card,False,Youth education program
DN0225,D0070,C009,398.55,2024-06-03,ACH Transfer,True,Land acquisition support
DN0226,D0045,C011,202.32,2023-01-17,Check,False,Youth education program
DN0227,D0247,C012,966.49,2024-08-18,Check,True,Youth education program
DN0228,D0560,C006,1287.90,2024-12-02,PayPal,False,Land acquisition support
DN0229,D0647,C003,783.95,2024-04-13,Credit Card,False,Annual membership renewal
DN0230,D0811,C004,1920.18,2023-11-14,ACH Transfer,False,Emergency wildlife support
DN0231,D0485,C005,332.28,2023-10-20,Check,False,Annual membership renewal
DN0232,D0887,C011,84.13,2024-01-12,PayPal,False,Land acquisition support
DN0233,D0917,C007,113.74,2024-12-09,PayPal,False,Emergency wildlife support
DN0234,D0274,C013,226.64,2024-03-16,ACH Transfer,False,One-time contribution
DN0235,D0559,C005,63.03,2024-11-07,Check,False,
DN0236,D0735,C007,235.86,2024-04-02,Credit Card,False,Youth education program
DN0237,D0630,C007,490.51,2023-02-28,Credit Card,False,Elk research funding
DN0238,D0373,C009,3557.35,2023-02-01,Wire Transfer,False,Land acquisition support
DN0239,D0036,C003,394.79,2024-01-11,Check,False,
DN0240,D0034,C010,238.71,2024-01-15,Check,False,Monthly donation
DN0241,D0588,C003,214.07,2024-10-27,Check,False,Monthly donation
DN0242,D0027,C012,270.93,2024-07-29,Credit Card,False,Conservation project funding
DN0243,D0721,C008,315.64,2024-12-11,PayPal,False,One-time contribution
DN0244,D0874,C002,451.87,2024-03-31,Credit Card,False,Youth education program
DN0245,D0684,C006,2974.99,2023-10-25,Check,False,One-time contribution
DN0246,D0813,C006,82.65,2023-07-25,Wire Transfer,False,Land acquisition support
DN0247,D0027,C006,200.23,2024-07-18,Wire Transfer,False,Monthly donation
DN0248,D0068,C005,365.54,2024-05-05,ACH Transfer,False,Elk research funding
DN0249,D0844,C010,486.88,2024-10-19,Credit Card,False,Emergency wildlife support
DN0250,D0353,C003,4011.18,2024-10-17,ACH Transfer,True,One-time contribution
DN0251,D0444,C009,10264.22,2023-05-08,ACH Transfer,True,One-time contribution
DN0252,D0166,C006,26419.68,2024-06-15,Check,False,Conservation project funding
DN0253,D0202,C011,31072.85,2024-10-02,Check,False,Monthly donation
DN0254,D0515,C011,472.26,2023-06-07,Wire Transfer,False,
DN0255,D0346,C014,8913.46,2023-01-30,Credit Card,True,
DN0256,D0272,C011,296.77,2024-09-24,Credit Card,False,Emergency wildlife support
DN0257,D0297,C011,50879.76,2024-12-02,PayPal,False,Monthly donation
DN0258,D0706,C001,222.42,2024-04-20,Wire Transfer,False,One-time contribution
DN0259,D0321,C014,3803.90,2023-12-20,PayPal,True,Youth education program
DN0260,D0528,C009,139.83,2023-05-06,Check,False,One-time contribution
DN0261,D0100,C001,207.47,2024-09-22,PayPal,False,One-time contribution
DN0262,D0834,C006,73507.20,2023-07-14,Wire Transfer,False,Emergency wildlife support
DN0263,D0479,C008,2738.17,2023-04-03,PayPal,False,Habitat restoration support
DN0264,D0221,C010,49.01,2024-05-21,ACH Transfer,False,Land acquisition support
DN0265,D0293,C009,76.06,2023-05-18,Check,False,Elk research funding
DN0266,D0375,C001,295.88,2023-07-19,Check,False,Monthly donation
DN0267,D0396,C009,286.18,2024-09-30,ACH Transfer,True,Monthly donation
DN0268,D0404,C006,2025.88,2024-01-10,Wire Transfer,True,Emergency wildlife support
DN0269,D0412,C009,43.48,2024-12-31,Check,False,Emergency wildlife support
DN0270,D0468,C003,2819.78,2023-12-02,ACH Transfer,False,Elk research funding
DN0271,D0632,C012,3171.76,2024-06-03,ACH Transfer,False,
DN0272,D0307,C008,2157.61,2024-11-20,Credit Card,False,
DN0273,D0316,C013,4424.45,2024-10-06,Credit Card,False,Conservation project funding
DN0274,D0991,C011,3992.73,2024-08-14,Wire Transfer,False,
DN0275,D0492,C003,367.56,2024-01-25,Wire Transfer,False,Habitat restoration support
DN0276,D0033,C010,15440.07,2023-01-20,PayPal,False,One-time contribution
DN0277,D0423,C012,263.36,2024-09-18,PayPal,False,Annual membership renewal
DN0278,D0723,C003,291.42,2024-11-09,PayPal,False,Youth education program
DN0279,D0980,C003,278.24,2024-07-13,Check,False,Conservation project funding
DN0280,D0625,C008,142.10,2024-07-25,Check,False,Conservation project funding
DN0281,D0790,C005,3606.08,2024-05-15,Check,False,Emergency wildlife support
DN0282,D0957,C015,1730.56,2023-05-05,ACH Transfer,False,Elk research funding
DN0283,D0918,C007,4795.74,2023-05-30,Check,True,Monthly donation
DN0284,D0355,C015,146.81,2024-05-05,Wire Transfer,False,Emergency wildlife support
DN0285,D0278,C015,154.02,2023-04-22,ACH Transfer,False,Habitat restoration support
DN0286,D0249,C001,2889.69,2024-10-15,Wire Transfer,True,Elk research funding
DN0287,D0339,C012,348.57,2023-05-21,Credit Card,False,One-time contribution
DN0288,D0417,C011,88447.96,2024-05-03,Wire Transfer,False,Conservation project funding
DN0289,D0329,C005,4585.72,2023-04-02,ACH Transfer,False,Annual membership renewal
DN0290,D0936,C015,444.07,2023-06-30,Credit Card,False,Elk research funding
DN0291,D0807,C008,380.78,2023-10-24,Credit Card,True,
DN0292,D0618,C002,36829.00,2024-04-10,ACH Transfer,False,One-time contribution
DN0293,D0872,C009,116.59,2023-04-26,Check,True,Land acquisition support
DN0294,D0664,C005,563.38,2023-12-12,Check,False,Habitat restoration support
DN0295,D0180,C010,4536.69,2024-03-13,ACH Transfer,False,Elk research funding
DN0296,D0686,C002,91.79,2023-11-28,Wire Transfer,True,Elk research funding
DN0297,D0242,C008,4793.16,2023-11-06,ACH Transfer,False,Annual membership renewal
DN0298,D0268,C011,137.24,2024-11-14,Credit Card,False,One-time contribution
DN0299,D0416,C011,450.18,2024-12-21,Check,False,Conservation project funding
DN0300,D0377,C010,479.75,2024-05-04,Wire Transfer,False,
DN0301,D0383,C007,4607.59,2024-07-04,Wire Transfer,False,
DN0302,D0895,C013,237.21,2024-12-21,Check,True,
DN0303,D0115,C001,4563.00,2023-07-27,ACH Transfer,False,One-time contribution
DN0304,D0336,C014,80.21,2023-07-30,ACH Transfer,False,Emergency wildlife support
DN0305,D0457,C013,87.67,2024-03-01,PayPal,False,Emergency wildlife support
DN0306,D0474,C011,3754.76,2024-02-10,Check,False,Habitat restoration support
DN0307,D0593,C002,188.65,2023-03-07,ACH Transfer,False,Monthly donation
DN0308,D0957,C008,219.21,2023-05-19,PayPal,False,Elk research funding
DN0309,D0460,C014,40862.15,2023-03-24,ACH Transfer,True,Youth education program
DN0310,D0122,C003,42340.57,2023-05-11,Wire Transfer,False,Annual membership renewal
DN0311,D0306,C008,2950.00,2024-06-28,PayPal,False,Habitat restoration support
DN0312,D0472,C006,114.53,2023-04-26,Credit Card,False,Elk research funding
DN0313,D0630,C013,89458.93,2023-09-04,Wire Transfer,True,
DN0314,D0035,C008,359.06,2023-02-19,Wire Transfer,False,Elk research funding
DN0315,D0450,C004,383.33,2023-02-27,Wire Transfer,False,Conservation project funding
DN0316,D0240,C014,59730.48,2024-08-14,ACH Transfer,False,Youth education program
DN0317,D0243,C005,4935.63,2024-06-17,Wire Transfer,False,Conservation project funding
DN0318,D0063,C009,88572.82,2023-06-29,PayPal,False,Annual membership renewal
DN0319,D0996,C006,68777.54,2024-06-21,Check,False,Elk research funding
DN0320,D0153,C005,383.35,2024-04-29,Wire Transfer,False,Conservation project funding
DN0321,D0879,C012,244.94,2023-03-01,ACH Transfer,False,Elk research funding
DN0322,D0571,C009,140.36,2023-07-28,Check,False,Land acquisition support
DN0323,D0868,C006,369.18,2023-07-15,Credit Card,False,
DN0324,D0618,C001,1346.73,2024-08-24,ACH Transfer,False,Habitat restoration support
DN0325,D0891,C015,479.58,2023-01-16,Wire Transfer,False,Monthly donation
DN0326,D0765,C013,140.23,2024-09-10,Wire Transfer,False,Habitat restoration support
DN0327,D0566,C006,2212.98,2024-06-30,Check,False,Youth education program
DN0328,D0526,C015,71.84,2024-04-25,Check,False,Youth education program
DN0329,D0321,C007,435.44,2023-05-30,Credit Card,False,
DN0330,D0594,C012,97.40,2023-12-04,Wire Transfer,False,Habitat restoration support
DN0331,D0512,C009,3581.81,2023-09-21,PayPal,False,Land acquisition support
DN0332,D0472,C003,2084.79,2023-05-24,ACH Transfer,False,Emergency wildlife support
DN0333,D0658,C001,423.56,2023-03-18,Credit Card,False,Elk research funding
DN0334,D0141,C014,805.86,2023-06-04,Credit Card,False,Land acquisition support
DN0335,D0383,C001,3500.40,2024-09-23,PayPal,False,Annual membership renewal
DN0336,D0007,C009,30.63,2024-06-26,Check,False,Conservation project funding
DN0337,D0018,C009,3533.15,2023-07-03,Credit Card,False,Emergency wildlife support
DN0338,D0153,C004,275.07,2023-12-29,Check,False,Monthly donation
DN0339,D0383,C007,140.52,2024-12-14,Wire Transfer,False,Monthly donation
DN0340,D0670,C014,642.58,2024-02-20,PayPal,False,Land acquisition support
DN0341,D0058,C011,106.41,2024-05-26,PayPal,False,Youth education program
DN0342,D0580,C014,90005.17,2023-02-13,Wire Transfer,False,
DN0343,D0487,C005,60.32,2023-10-15,ACH Transfer,False,Annual membership renewal
DN0344,D0184,C015,570.46,2023-08-01,ACH Transfer,True,Elk research funding
DN0345,D0952,C002,292.88,2024-08-03,PayPal,False,Emergency wildlife support
DN0346,D0340,C007,1129.78,2024-12-06,Credit Card,False,Youth education program
DN0347,D0055,C002,423.37,2023-12-15,ACH Transfer,False,
DN0348,D0407,C013,326.21,2024-04-06,PayPal,False,Emergency wildlife support
DN0349,D0964,C007,347.86,2024-11-07,PayPal,True,
DN0350,D0303,C013,59.92,2023-10-02,Wire Transfer,False,One-time contribution
DN0351,D0758,C007,75.61,2023-01-06,Check,False,Conservation project funding
DN0352,D0105,C003,229.72,2024-07-24,ACH Transfer,False,Monthly donation
DN0353,D0027,C002,69.21,2024-09-04,Check,False,Annual membership renewal
DN0354,D0299,C007,65.23,2024-07-26,Wire Transfer,False,One-time contribution
DN0355,D0702,C007,152.74,2023-10-02,PayPal,True,One-time contribution
DN0356,D0446,C005,255.01,2023-03-20,Check,False,Habitat restoration support
DN0357,D0739,C011,317.92,2024-04-13,Credit Card,True,Annual membership renewal
DN0358,D0972,C007,319.59,2023-12-04,PayPal,False,
DN0359,D0140,C005,474.96,2023-07-25,PayPal,False,Elk research funding
DN0360,D0992,C006,355.10,2024-05-17,ACH Transfer,False,Youth education program
DN0361,D0386,C005,2268.21,2023-04-27,ACH Transfer,True,Emergency wildlife support
DN0362,D0185,C011,621.12,2024-04-17,Wire Transfer,False,Conservation project funding
